position,latitude,longitude,linesag,linesway,contact,strike,status
5278,37.39935,-122.25661,14.9,0.2,0.04,0.0,OK
5308,37.39933,-122.25695,9.0,0.3,0.02,0.0,OK
5338,37.39932,-122.25729,8.2,0.3,0.03,0.0,OK
5368,37.3993,-122.25763,11.6,0.2,0.09,0.0,OK
5397,37.39928,-122.25795,15.0,0.0,0.04,0.0,OK
5427,37.39926,-122.25829,13.1,0.6,0.05,0.0,OK
5457,37.39923,-122.25863,18.9,1.1,0.02,0.0,OK
5487,37.39921,-122.25896,28.5,1.6,0.0,0.0,OK
5517,37.39918,-122.2593,40.6,2.0,0.0,0.0,OK
5547,37.39916,-122.25964,52.5,2.3,0.0,0.0,OK
5577,37.39914,-122.25998,65.1,2.6,0.0,0.0,OK
5607,37.39911,-122.26032,74.4,2.8,0.0,0.0,OK
5637,37.39909,-122.26066,81.5,2.9,0.0,0.0,OK
5667,37.39907,-122.26099,87.1,3.0,0.0,0.0,OK
5697,37.39904,-122.26133,87.5,3.0,0.0,0.0,OK
5727,37.39902,-122.26167,71.6,3.0,0.0,0.0,OK
5757,37.39899,-122.26201,52.5,2.9,0.01,0.0,OK
5787,37.39897,-122.26235,42.0,2.7,0.01,0.0,OK
5817,37.39895,-122.26269,35.3,2.4,0.01,0.0,OK
5847,37.39892,-122.26302,30.1,2.1,0.02,0.0,OK
5877,37.3989,-122.26336,25.7,1.7,0.04,0.0,OK
5907,37.39888,-122.2637,17.1,1.3,0.36,0.054,OK
5937,37.39885,-122.26404,15.3,0.8,0.25,0.28,FAILED
5967,37.39883,-122.26438,18.1,0.2,0.11,0.001,OK
5977,37.39882,-122.26449,18.0,0.0,0.09,0.001,OK
6007,37.3988,-122.26483,10.6,0.3,0.08,0.0,OK
6037,37.39877,-122.26517,5.9,0.4,0.06,0.0,OK
6067,37.39875,-122.26551,5.8,0.4,0.05,0.0,OK
6097,37.39873,-122.26584,9.3,0.3,0.04,0.0,OK
6119,37.39871,-122.2661,15.0,0.0,0.06,0.0,OK
6149,37.39869,-122.26644,11.1,0.2,0.05,0.0,OK
6179,37.39866,-122.26678,9.4,0.3,0.07,0.0,OK
6209,37.39864,-122.26712,11.0,0.2,0.07,0.003,OK
6239,37.39862,-122.26745,15.8,0.1,0.08,0.0,OK
6250,37.39861,-122.26757,18.0,0.0,0.06,0.0,OK
6280,37.39838,-122.26774,35.6,0.2,0.01,0.0,OK
6310,37.39814,-122.26791,50.0,0.4,0.0,0.0,OK
6340,37.39791,-122.26809,60.1,0.6,0.0,0.0,OK
6370,37.39768,-122.26826,62.9,0.7,0.0,0.0,OK
6400,37.39745,-122.26843,59.4,0.8,0.0,0.0,OK
6430,37.39721,-122.2686,50.7,0.9,0.01,0.0,OK
6460,37.39698,-122.26878,44.8,1.0,0.01,0.0,OK
6490,37.39675,-122.26895,37.5,1.0,0.03,0.0,OK
6520,37.39652,-122.26912,30.9,1.0,0.04,0.0,OK
6550,37.39628,-122.26929,27.3,1.0,0.02,0.0,OK
6580,37.39605,-122.26946,23.2,1.0,0.03,0.0,OK
6610,37.39582,-122.26964,20.0,0.9,0.02,0.0,OK
6640,37.39559,-122.26981,16.3,0.8,0.03,0.0,OK
6670,37.39535,-122.26998,12.8,0.7,0.06,0.0,OK
6700,37.39512,-122.27015,9.7,0.6,0.04,0.0,OK
6730,37.39489,-122.27033,9.5,0.4,0.04,0.0,OK
6760,37.39466,-122.2705,12.0,0.2,0.03,0.0,OK
6783,37.39448,-122.27063,21.0,0.0,0.03,0.0,OK
6813,37.39425,-122.27082,16.7,0.1,0.02,0.0,OK
6843,37.39403,-122.271,16.6,0.2,0.01,0.0,OK
6873,37.3938,-122.27119,15.6,0.2,0.01,0.0,OK
6903,37.39358,-122.27137,15.6,0.2,0.01,0.0,OK
6933,37.39335,-122.27156,16.7,0.1,0.04,0.0,OK
6963,37.39313,-122.27175,19.9,0.0,0.11,0.0,OK
6971,37.39306,-122.2718,21.0,0.0,0.09,0.0,OK
7001,37.39299,-122.27213,19.4,0.5,0.18,0.003,OK
7031,37.39292,-122.27245,20.4,0.9,0.36,1.0,FAILED
7061,37.39285,-122.27278,17.1,1.2,0.65,1.0,FAILED
7091,37.39277,-122.27311,14.6,1.3,0.69,1.0,FAILED
7121,37.3927,-122.27344,10.6,1.2,0.54,1.0,FAILED
7151,37.39263,-122.27376,7.1,1.1,0.36,0.999,FAILED
7181,37.39256,-122.27409,8.6,0.7,0.25,0.934,FAILED
7211,37.39249,-122.27442,14.8,0.2,0.12,0.022,OK
7215,37.39248,-122.27446,17.0,0.0,0.1,0.004,OK
7245,37.39241,-122.27479,23.3,0.8,0.05,0.0,OK
7275,37.39234,-122.27512,24.9,1.4,0.04,0.0,OK
7305,37.39227,-122.27544,15.6,1.8,0.41,0.657,FAILED
7335,37.3922,-122.27577,7.8,2.0,0.55,1.0,FAILED
7365,37.39213,-122.2761,5.3,2.0,0.65,1.0,FAILED
7395,37.39206,-122.27643,3.3,1.8,0.64,1.0,FAILED
7425,37.39199,-122.27676,6.7,1.3,0.5,1.0,FAILED
7455,37.39192,-122.27708,13.2,0.6,0.32,1.0,FAILED
7463,37.3919,-122.27717,21.0,0.0,0.23,1.0,FAILED
7493,37.39183,-122.2775,14.3,0.7,0.4,1.0,FAILED
7523,37.39177,-122.27783,11.8,1.0,0.47,1.0,FAILED
7553,37.3917,-122.27816,12.7,0.9,0.34,1.0,FAILED
7583,37.39163,-122.27849,17.0,0.4,0.18,0.848,FAILED
7593,37.39161,-122.2786,23.0,0.0,0.08,0.0,OK
7623,37.39162,-122.27894,17.8,0.3,0.08,0.0,OK
7653,37.39163,-122.27928,16.7,0.6,0.07,0.0,OK
7683,37.39165,-122.27962,11.5,0.7,0.08,0.0,OK
7713,37.39166,-122.27996,0.3,0.8,0.1,0.0,OK
7743,37.39167,-122.2803,-0.8,0.7,0.12,0.001,OK
7773,37.39168,-122.28064,3.0,0.6,0.13,0.007,OK
7803,37.3917,-122.28097,7.6,0.4,0.11,0.006,OK
7833,37.39171,-122.28131,14.4,0.1,0.09,0.002,OK
7840,37.39171,-122.28139,16.0,0.0,0.08,0.0,OK
7870,37.39156,-122.28167,17.9,0.5,0.09,0.0,OK
7900,37.39142,-122.28196,23.1,1.0,0.07,0.0,OK
7930,37.39127,-122.28224,29.9,1.5,0.03,0.0,OK
7960,37.39112,-122.28253,36.2,1.9,0.02,0.0,OK
7990,37.39097,-122.28281,45.3,2.2,0.01,0.0,OK
8020,37.39083,-122.2831,59.0,2.5,0.01,0.0,OK
8050,37.39068,-122.28338,63.4,2.8,0.01,0.0,OK
8080,37.39053,-122.28367,65.3,3.0,0.01,0.0,OK
8110,37.39038,-122.28395,71.8,3.2,0.0,0.0,OK
8140,37.39024,-122.28423,81.1,3.3,0.0,0.0,OK
8170,37.39009,-122.28452,87.8,3.4,0.0,0.0,OK
8200,37.38994,-122.2848,88.2,3.5,0.0,0.0,OK
8230,37.3898,-122.28509,87.3,3.5,0.0,0.0,OK
8260,37.38965,-122.28537,81.9,3.4,0.01,0.0,OK
8290,37.3895,-122.28566,75.2,3.3,0.01,0.0,OK
8320,37.38935,-122.28594,73.1,3.2,0.01,0.0,OK
8350,37.38921,-122.28623,71.6,3.0,0.01,0.0,OK
8380,37.38906,-122.28651,67.6,2.8,0.0,0.0,OK
8410,37.38891,-122.2868,64.5,2.5,0.01,0.0,OK
8440,37.38876,-122.28708,57.8,2.2,0.02,0.0,OK
8470,37.38862,-122.28736,49.6,1.8,0.03,0.0,OK
8500,37.38847,-122.28765,41.4,1.4,0.04,0.0,OK
8530,37.38832,-122.28793,30.6,0.9,0.05,0.0,OK
8560,37.38817,-122.28822,24.6,0.4,0.02,0.0,OK
8583,37.38806,-122.28844,23.0,0.0,0.02,0.0,OK
